file_preffix,edit_costs,relaxed_compression,ged_method,b_ni,b_na,b_ei,b_ea,graph_sample_size,cost_arborescence,k_complexity_a,k_complexity_b,gedlib_runtime_initial,spanning_arb_runtime,num_nodes,num_leafs,avg_degree,min_degree,max_degree,root_degree,avg_depth,max_depth,,,,,
mao,modified,false,branch_uniform,1,1,1,1,27,892,14030,5323,0.445702,0.002991,69,27,1.619048,1,4,1,7.289855,15,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,34,1016,14030,5323,0.453112,0.002775,69,26,1.581395,1,5,1,12.753623,22,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,34,994,14030,5323,0.463162,0.003919,69,23,1.478261,1,4,1,16.275362,29,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,34,1008,14030,5323,0.459517,0.003337,69,27,1.619048,1,3,1,11.623188,21,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,34,1022,14030,5323,0.459625,0.002994,69,22,1.446809,1,4,1,15.753623,27,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,34,1060,14030,5323,0.690283,0.002869,69,25,1.545455,1,4,1,11.492754,21,,,,,
mao,modified,false,branch_uniform,1,1,1,1,34,853,14030,5323,0.684707,0.002813,69,28,1.658537,1,4,1,7.130435,12,,,,,
mao,modified,false,branch_uniform,1,1,1,1,34,852,14030,5323,0.678532,0.003155,69,22,1.446809,1,4,1,15.057971,25,,,,,
mao,modified,false,branch_uniform,1,1,1,1,34,840,14030,5323,0.578316,0.002876,69,24,1.511111,1,4,1,8.072464,13,,,,,
mao,modified,false,branch_uniform,1,1,1,1,34,918,14030,5323,0.450581,0.003061,69,23,1.478261,1,3,1,7.57971,14,,,,,
mao,modified,false,branch_uniform,1,1,1,1,34,839,14030,5323,0.448973,0.002627,69,20,1.387755,1,3,1,9.173913,20,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,41,969,14030,5323,0.538994,0.003064,69,25,1.545455,1,3,1,9.724638,16,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,41,974,14030,5323,0.532978,0.003373,69,25,1.545455,1,4,1,9.956522,18,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,41,986,14030,5323,0.542666,0.003031,69,28,1.658537,1,5,1,13.231884,26,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,41,970,14030,5323,0.539301,0.003451,69,24,1.511111,1,3,1,9.173913,17,,,,,
mao,traditional,true,branch_uniform,1,1,1,1,41,989,14030,5323,0.546102,0.003427,69,18,1.333333,1,3,1,11.246377,21,,,,,
